Month of Selection,Year of Selection,Book Title,Author Name,Publication date,Genre,Adaptation?,Goodreads Summary,# of pages,,
August,2018,Still Lives,Maria Hummel,2018,Thriller,No,"Kim Lord is an avant-garde figure, feminist icon, and agent provocateur in the L.A. art scene. Her groundbreaking new exhibition Still Lives is comprised of self-portraits depicting herself as famous, murdered women—the Black Dahlia, Chandra Levy, Nicole Brown Simpson, among many others—and the works are as compelling as they are disturbing, implicating a culture that is too accustomed to violence against women.

As the city’s richest art patrons pour into the Rocque Museum’s opening night, all the staff, including editor Maggie Richter, hope the event will be enough to save the historic institution’s flailing finances. Except Kim Lord never shows up to her own gala. Fear mounts as the hours and days drag on and Lord remains missing. Suspicion falls on the up-and-coming gallerist Greg Shaw Ferguson, who happens to be Maggie’s ex. A rogue’s gallery of eccentric art world figures could also have motive for the act, and as Maggie gets drawn into her own investigation of Lord’s disappearance, she’ll come to suspect all of those closest to her.

Set against a culture that often fetishizes violence, Still Lives is a page-turning exodus into the art world’s hall of mirrors, and one woman’s journey into the belly of an industry flooded with money and secrets.",275,,
September,2018,Where the Crawdads Sing,Delia Owens,2018,Historical Fiction,Yes,"For years, rumors of the “Marsh Girl” haunted Barkley Cove, a quiet fishing village. Kya Clark is barefoot and wild; unfit for polite society. So in late 1969, when the popular Chase Andrews is found dead, locals immediately suspect her.

But Kya is not what they say. A born naturalist with just one day of school, she takes life's lessons from the land, learning the real ways of the world from the dishonest signals of fireflies. But while she has the skills to live in solitude forever, the time comes when she yearns to be touched and loved. Drawn to two young men from town, who are each intrigued by her wild beauty, Kya opens herself to a new and startling world—until the unthinkable happens.

In Where the Crawdads Sing, Owens juxtaposes an exquisite ode to the natural world against a profound coming of age story and haunting mystery. Thought-provoking, wise, and deeply moving, Owens’s debut novel reminds us that we are forever shaped by the child within us, while also subject to the beautiful and violent secrets that nature keeps.

The story asks how isolation influences the behavior of a young woman, who like all of us, has the genetic propensity to belong to a group. The clues to the mystery are brushed into the lush habitat and natural histories of its wild creatures.",384,,
October,2018,This Is How It Always Is,Laurie Frankel,2017,Literary Fiction,No,"This is how a family keeps a secret…and how that secret ends up keeping them.

This is how a family lives happily ever after…until happily ever after becomes complicated.

This is how children change…and then change the world.

This is Claude. He’s five years old, the youngest of five brothers, and loves peanut butter sandwiches. He also loves wearing a dress, and dreams of being a princess.

When he grows up, Claude says, he wants to be a girl.

Rosie and Penn want Claude to be whoever Claude wants to be. They’re just not sure they’re ready to share that with the world. Soon the entire family is keeping Claude’s secret. Until one day it explodes.

This Is How It Always Is is a novel about revelations, transformations, fairy tales, and family. And it’s about the ways this is how it always is: Change is always hard and miraculous and hard again, parenting is always a leap into the unknown with crossed fingers and full hearts, children grow but not always according to plan. And families with secrets don’t get to keep them forever.",338,,
November,2018,The Other Woman,Sandie Jones,2018,Thriller,No,"A deliciously disturbing, compulsively readable debut domestic suspense—prepare to meet The Other Woman: there’s nothing she won’t do to keep you away from her son...

Emily thinks Adam's perfect; the man she thought she'd never meet. But lurking in the shadows is a rival; a woman who shares a deep bond with the man she loves.

Emily chose Adam, but she didn’t choose his mother Pammie. There’s nothing a mother wouldn’t do for her son, and now Emily is about to find out just how far Pammie will go to get what she wants: Emily gone forever.

The Other Woman is an addictive, fast-paced psychological thriller about the destructive relationship between Emily, her boyfriend Adam, and his manipulative mother Pammie.",304,,
December,2018,One Day In December,Josie Silver,2018,Romance,No,"Two people. Ten chances. One unforgettable love story.

Laurie is pretty sure love at first sight doesn't exist anywhere but the movies. But then, through a misted-up bus window one snowy December day, she sees a man who she knows instantly is the one. Their eyes meet, there's a moment of pure magic... and then her bus drives away.

Certain they're fated to find each other again, Laurie spends a year scanning every bus stop and cafe in London for him. But she doesn't find him, not when it matters anyway. Instead they ""reunite"" at a Christmas party, when her best friend Sarah giddily introduces her new boyfriend to Laurie. It's Jack, the man from the bus. It would be.

What follows for Laurie, Sarah and Jack is ten years of friendship, heartbreak, missed opportunities, roads not taken, and destinies reconsidered. One Day in December is a joyous, heartwarming and immensely moving love story to escape into and a reminder that fate takes inexplicable turns along the route to happiness.",393,,
January,2019,The Library Book,Susan Orlean,2018,History,No,"On the morning of April 29, 1986, a fire alarm sounded in the Los Angeles Public Library. As the moments passed, the patrons and staff who had been cleared out of the building realized this was not the usual fire alarm. As one fireman recounted, “Once that first stack got going, it was ‘Goodbye, Charlie.’” The fire was disastrous: it reached 2000 degrees and burned for more than seven hours. By the time it was extinguished, it had consumed four hundred thousand books and damaged seven hundred thousand more. Investigators descended on the scene, but more than thirty years later, the mystery remains: Did someone purposefully set fire to the library—and if so, who?

Weaving her lifelong love of books and reading into an investigation of the fire, award-winning New Yorker reporter and New York Times bestselling author Susan Orlean delivers a mesmerizing and uniquely compelling book that manages to tell the broader story of libraries and librarians in a way that has never been done before.

In The Library Book, Orlean chronicles the LAPL fire and its aftermath to showcase the larger, crucial role that libraries play in our lives; delves into the evolution of libraries across the country and around the world, from their humble beginnings as a metropolitan charitable initiative to their current status as a cornerstone of national identity; brings each department of the library to vivid life through on-the-ground reporting; studies arson and attempts to burn a copy of a book herself; reflects on her own experiences in libraries; and reexamines the case of Harry Peak, the blond-haired actor long suspected of setting fire to the LAPL more than thirty years ago.

Along the way, Orlean introduces us to an unforgettable cast of characters from libraries past and present—from Mary Foy, who in 1880 at eighteen years old was named the head of the Los Angeles Public Library at a time when men still dominated the role, to Dr. C.J.K. Jones, a pastor, citrus farmer, and polymath known as “The Human Encyclopedia” who roamed the library dispensing information; from Charles Lummis, a wildly eccentric journalist and adventurer who was determined to make the L.A. library one of the best in the world, to the current staff, who do heroic work every day to ensure that their institution remains a vital part of the city it serves.

Brimming with her signature wit, insight, compassion, and talent for deep research, The Library Book is Susan Orlean’s thrilling journey through the stacks that reveals how these beloved institutions provide much more than just books—and why they remain an essential part of the heart, mind, and soul of our country. It is also a master journalist’s reminder that, perhaps especially in the digital era, they are more necessary than ever.",317,,
February,2019,The Proposal,Jasmine Guillory,2018,Romance,No,"The author of The Wedding Date serves up a novel about what happens when a public proposal doesn't turn into a happy ending, thanks to a woman who knows exactly how to make one on her own...

When someone asks you to spend your life with him, it shouldn't come as a surprise--or happen in front of 45,000 people.

When freelance writer Nikole Paterson goes to a Dodgers game with her actor boyfriend, his man bun, and his bros, the last thing she expects is a scoreboard proposal. Saying no isn't the hard part--they've only been dating for five months, and he can't even spell her name correctly. The hard part is having to face a stadium full of disappointed fans...

At the game with his sister, Carlos Ibarra comes to Nik's rescue and rushes her away from a camera crew. He's even there for her when the video goes viral and Nik's social media blows up--in a bad way. Nik knows that in the wilds of LA, a handsome doctor like Carlos can't be looking for anything serious, so she embarks on an epic rebound with him, filled with food, fun, and fantastic sex. But when their glorified hookups start breaking the rules, one of them has to be smart enough to put on the brakes...",325,,
March,2019,Daisy Jones & The Six,Taylor Jenkins Reid,2019,Historical Fiction,Yes,"Daisy is a girl coming of age in L.A. in the late sixties, sneaking into clubs on the Sunset Strip, sleeping with rock stars, and dreaming of singing at the Whisky a Go Go. The sex and drugs are thrilling, but it’s the rock ’n’ roll she loves most. By the time she’s twenty, her voice is getting noticed, and she has the kind of heedless beauty that makes people do crazy things.

Also getting noticed is The Six, a band led by the brooding Billy Dunne. On the eve of their first tour, his girlfriend Camila finds out she’s pregnant, and with the pressure of impending fatherhood and fame, Billy goes a little wild on the road.

Daisy and Billy cross paths when a producer realizes that the key to supercharged success is to put the two together. What happens next will become the stuff of legend.

The making of that legend is chronicled in this riveting and unforgettable novel, written as an oral history of one of the biggest bands of the seventies. Taylor Jenkins Reid is a talented writer who takes her work to a new level with Daisy Jones & The Six, brilliantly capturing a place and time in an utterly distinctive voice.",355,,
April,2019,The Night Tiger,Yangsze Choo,2019,Historical Fiction,No,"A sweeping historical novel about a dancehall girl and an orphan boy whose fates entangle over an old Chinese superstition about men who turn into tigers.

When 11-year-old Ren's master dies, he makes one last request of his Chinese houseboy: that Ren find his severed finger, lost years ago in an accident, and reunite it with his body. Ren has 49 days, or else his master's soul will roam the earth, unable to rest in peace.

Ji Lin always wanted to be a doctor, but as a girl in 1930s Malaysia, apprentice dressmaker is a more suitable occupation. Secretly, though, Ji Lin also moonlights as a dancehall girl to help pay off her beloved mother's Mahjong debts. One night, Ji Lin's dance partner leaves her with a gruesome souvenir: a severed finger. Convinced the finger is bad luck, Ji Lin enlists the help of her erstwhile stepbrother to return it to its rightful owner.

As the 49 days tick down, and a prowling tiger wreaks havoc on the town, Ji Lin and Ren's lives intertwine in ways they could never have imagined. Propulsive and lushly written, The Night Tiger explores colonialism and independence, ancient superstition and modern ambition, sibling rivalry and first love. Braided through with Chinese folklore and a tantalizing mystery, this novel is a page-turner of the highest order.

Reese Witherspoon x Hello Sunshine Book Club Pick, Amazon Spotlight Pick for Best Book of the Month, NYTimes and Publisher's Weekly Bestseller. Starred Kirkus, Booklist, and Publisher's Weekly reviews.",372,,
May,2019,From Scratch,Tembi Locke,2019,Memoir,Yes,"A poignant and transporting cross-cultural love story set against the lush backdrop of the Sicilian countryside, where one woman discovers the healing powers of food, family, and unexpected grace in her darkest hour.

It was love at first sight when Tembi met professional chef, Saro, on a street in Florence. There was just one problem: Saro’s traditional Sicilian family did not approve of him marrying a black American woman, an actress no less. However, the couple, heartbroken but undeterred, forges on. They build a happy life in Los Angeles, with fulfilling careers, deep friendships and the love of their lives: a baby girl they adopt at birth. Eventually, they reconcile with Saro’s family just as he faces a formidable cancer that will consume all their dreams.

From Scratch chronicles three summers Tembi spends in Sicily with her daughter, Zoela, as she begins to piece together a life without her husband in his tiny hometown hamlet of farmers. Where once Tembi was estranged from Saro’s family and his origins, now she finds solace and nourishment—literally and spiritually—at her mother in law’s table. In the Sicilian countryside, she discovers the healing gifts of simple fresh food, the embrace of a close knit community, and timeless traditions and wisdom that light a path forward. All along the way she reflects on her and Saro’s incredible romance—an indelible love story that leaps off the pages.

In Sicily, it is said that every story begins with a marriage or a death—in Tembi Locke’s case, it is both. Her story is about loss, but it’s really about love found. Her story is about travel, but it’s really about finding a home. It is about food, but it’s really about chasing flavor as an act of remembrance. From Scratch is for anyone who has dared to reach for big love, fought for what mattered most, and needed a powerful reminder that life is…delicious.",339,,
June,2019,The Cactus,Sarah Haywood,2018,Romance,No,"An unforgettable love story that shows sometimes you have to embrace the unexpected.

Susan Green is like a cactus: you can't get too close. She likes things perfectly ordered and predictable. No surprises. But suddenly confronted with the loss of her mother and the unexpected news that she is about to become a mother herself, Susan’s greatest fear is realized. She is losing control.

Enter Rob, the dubious but well-meaning friend of her indolent brother. As Susan's due date draws near and her dismantled world falls further into a tailspin, Susan finds an unlikely ally in Rob. She might have a chance at finding real love and learning to love herself, if only she can figure out how to let go.",384,,
July,2019,Whisper Network,Chandler Baker,2019,Thriller,No,"Sloane, Ardie, Grace, and Rosalita have worked at Truviv, Inc. for years. The sudden death of Truviv’s CEO means their boss, Ames, will likely take over the entire company. Each of the women has a different relationship with Ames, who has always been surrounded by whispers about how he treats women. Those whispers have been ignored, swept under the rug, hidden away by those in charge.

But the world has changed, and the women are watching this promotion differently. This time, when they find out Ames is making an inappropriate move on a colleague, they aren’t willing to let it go. This time, they’ve decided enough is enough.

Sloane and her colleagues’ decision to take a stand sets in motion a catastrophic shift in the office. Lies will be uncovered. Secrets will be exposed. And not everyone will survive. All of their lives—as women, colleagues, mothers, wives, friends, even adversaries—will change dramatically as a result.

""If only you had listened to us,” they tell us on page one of Chandler Baker's Whisper Network, “none of this would have happened.""",352,,
August,2019,The Last House Guest,Megan Miranda,2019,Thriller,No,"The summer after a wealthy young summer guest dies under suspicious circumstances, her best friend lives under a cloud of grief and suspicion.

Littleport, Maine, has always felt like two separate towns: an ideal vacation enclave for the wealthy, whose summer homes line the coastline; and a simple harbor community for the year-round residents whose livelihoods rely on service to the visitors.

Typically, fierce friendships never develop between a local and a summer girl—but that’s just what happens with visitor Sadie Loman and Littleport resident Avery Greer. Each summer for almost a decade, the girls are inseparable—until Sadie is found dead. While the police rule the death a suicide, Avery can’t help but feel there are those in the community, including a local detective and Sadie’s brother, Parker, who blame her. Someone knows more than they’re saying, and Avery is intent on clearing her name, before the facts get twisted against her.
The Last House Guest is a smart, twisty read that brilliantly explores the elusive nature of memory and the complexities of female friendships.",336,,
September,2019,The Secrets We Kept,Lara Prescott,2019,Historical Fiction,No,"Secretaries turned spies, love and duty, and sacrifice—inspired by the true story of the CIA plot to infiltrate the hearts and minds of Soviet Russia, not with propaganda, but with the greatest love story of the twentieth century: Doctor Zhivago.

At the height of the Cold War, two secretaries are pulled out of the typing pool at the CIA and given the assignment of a lifetime. Their mission: to smuggle Doctor Zhivago out of the USSR, where no one dare publish it, and help Pasternak's magnum opus make its way into print around the world. Glamorous and sophisticated Sally Forrester is a seasoned spy who has honed her gift for deceit all over the world--using her magnetism and charm to pry secrets out of powerful men. Irina is a complete novice, and under Sally's tutelage quickly learns how to blend in, make drops, and invisibly ferry classified documents.",368,,
October,2019,Fair Play,Eve Rodsky,2019,Self-Help,No,"A revolutionary, real-world solution to the problem of unpaid, invisible work that women have shouldered for too long.

It started with the Sh*t I Do List. Tired of being the ""shefault"" parent responsible for all aspects of her busy household, Eve Rodsky counted up all the unpaid, invisible work she was doing for her family -- and then sent that list to her husband, asking for things to change. His response was... underwhelming. Rodsky realized that simply identifying the issue of unequal labor on the home front wasn't enough: She needed a solution to this universal problem. Her sanity, identity, career, and marriage depended on it. 

The result is Fair Play: a time- and anxiety-saving system that offers couples a completely new way to divvy up domestic responsibilities. Rodsky interviewed more than five hundred men and women from all walks of life to figure out what the invisible work in a family actually entails and how to get it all done efficiently. With four easy-to-follow rules, 100 household tasks, and a figurative card game you play with your partner, Fair Play helps you prioritize what's important to your family and who should take the lead on every chore from laundry to homework to dinner. 

""Winning"" this game means rebalancing your home life, reigniting your relationship with your significant other, and reclaiming your Unicorn Space -- as in, the time to develop the skills and passions that keep you interested and interesting. Are you ready to try Fair Play? Let's deal you in.",352,,
